,country,_25_64,_25_34,_35_44,_45_54,_55_64
0,Australia,42,48,46,38,33
1,Austria,30,38,33,27,21
2,Belgium,37,44,42,34,26
3,Brazil,14,15,14,14,11
4,Canada,54,58,61,51,45
5,Chile,21,27,24,17,14
6,China,17,27,15,7,2
7,Colombia,22,28,23,18,16
8,Costa Rica,18,21,19,17,17
9,Czech Republic,22,30,21,20,15
10,Denmark,36,42,41,33,29
11,Estonia,38,40,39,35,36
12,Finland,42,40,50,44,34
13,France,32,44,39,26,20
14,Germany,27,28,29,26,25
15,Greece,28,39,27,26,21
16,Hungary,23,32,25,20,17
17,Iceland,37,41,42,36,29
18,Indonesia,8,10,9,8,4
19,Ireland,41,51,49,34,24
20,Israel,49,46,53,48,47
21,Italy,17,24,19,13,12
22,Japan,48,59,53,47,35
23,Latvia,30,39,31,27,23
24,Lithuania,37,53,38,30,28
25,Luxembourg,46,53,56,40,32
26,Mexico,19,25,17,16,13
27,Netherlands,34,44,38,30,27
28,New Zealand,36,40,41,32,29
29,Norway,42,49,49,36,32
30,Poland,27,43,32,18,14
31,Portugal,22,31,26,17,13
32,Russia,54,58,55,53,50
33,Saudi Arabia,22,26,22,18,14
34,Slovakia,20,30,21,15,14
35,Slovenia,29,38,35,24,18
36,South Africa,7,5,7,8,7
37,South Korea,45,68,56,33,17
38,Spain,35,41,43,30,21
39,Sweden,39,46,46,32,30
40,Switzerland,40,46,45,38,31
41,Turkey,17,25,16,10,10
42,United Kingdom,42,49,46,38,35
43,United States,44,46,47,43,41
